customer_id,identity_segment,engagement_tier,age,income,cost_preference,preferred_price_tier,group_size,explore_prob,preferred_rest_type,order_frequency_days,base_churn_hazard,location
1000001,Couple,occasional,43,59373,631.0,Mid-range,1,0.3,Fine Dining,27.8,0.06,Whitefield
1000002,Office Worker,occasional,36,87255,365.0,Budget,2,0.2,Cafe,4.2,0.06,HSR
1000003,Couple,regular,28,102362,902.0,Mid-range,3,0.3,Cafe,4.8,0.03,Koramangala 5th Block
1000004,Family,power_user,55,178855,666.0,Mid-range,7,0.15,Casual Dining,1.3,0.01,Indiranagar
1000005,Student,regular,24,20379,324.0,Budget,3,0.35,Beverage Shop,6.2,0.03,Bannerghatta Road
1000006,Food Explorer,regular,22,106654,735.0,Mid-range,3,0.7,Confectionery,1.0,0.03,BTM
1000007,Couple,regular,24,83088,898.0,Mid-range,3,0.3,Microbrewery,2.3,0.03,Koramangala 1st Block
1000008,Couple,trial_only,29,94388,963.0,Mid-range,1,0.3,Cafe,16.7,0.15,Koramangala 7th Block
1000009,Student,regular,23,18670,387.0,Budget,1,0.35,Quick Bites,3.4,0.03,Koramangala 1st Block
1000010,Office Worker,regular,33,62845,621.0,Mid-range,2,0.2,Casual Dining,1.7,0.03,Koramangala 4th Block
1000011,Office Worker,occasional,32,43400,576.0,Mid-range,2,0.2,Quick Bites,5.0,0.06,BTM
1000012,Food Explorer,occasional,29,80265,188.0,Budget,1,0.7,Quick Bites,27.2,0.06,Ejipura
1000013,Family,power_user,37,160800,1038.0,Premium,5,0.15,Casual Dining,5.3,0.01,JP Nagar
1000014,Couple,regular,38,65566,1756.0,Premium,4,0.3,Fine Dining,9.5,0.03,Bellandur
1000015,Office Worker,trial_only,24,77574,280.0,Budget,1,0.2,Casual Dining,38.3,0.15,Cunningham Road
1000016,Student,regular,22,31361,387.0,Budget,2,0.35,Quick Bites,5.9,0.03,Frazer Town
1000017,Family,occasional,27,64183,845.0,Mid-range,6,0.15,Fine Dining,7.7,0.06,Frazer Town
1000018,Student,occasional,23,26895,274.0,Budget,3,0.35,Quick Bites,12.1,0.06,Rajajinagar
1000019,Couple,regular,28,98515,1232.0,Premium,3,0.3,Fine Dining,6.4,0.03,City Market
1000020,Family,occasional,22,136552,889.0,Mid-range,4,0.15,Casual Dining,9.0,0.06,BTM
1000021,Couple,regular,33,79465,1547.0,Premium,2,0.3,Pub,8.8,0.03,Mysore Road
1000022,Office Worker,regular,30,43220,561.0,Mid-range,1,0.2,Casual Dining,16.4,0.03,Thippasandra
1000023,Food Explorer,regular,31,62963,223.0,Budget,2,0.7,Quick Bites,1.5,0.03,HSR
1000024,Couple,trial_only,42,65316,1005.0,Premium,1,0.3,Cafe,16.7,0.15,Indiranagar
1000025,Couple,regular,39,90548,1228.0,Premium,1,0.3,Lounge,4.9,0.03,MG Road
1000026,Student,regular,20,31826,426.0,Budget,2,0.35,Cafe,6.7,0.03,Ejipura
1000027,Office Worker,trial_only,36,76719,177.0,Budget,1,0.2,Quick Bites,26.2,0.15,Koramangala 7th Block
1000028,Student,regular,21,14485,251.0,Budget,1,0.35,Quick Bites,18.9,0.03,Brigade Road
1000029,Student,trial_only,19,23953,178.0,Budget,1,0.35,Dessert Parlor,30.3,0.15,HSR
1000030,Family,occasional,20,68846,526.0,Mid-range,3,0.15,Casual Dining,13.7,0.06,Basavanagudi
1000031,Family,occasional,20,67142,997.0,Mid-range,5,0.15,Casual Dining,6.5,0.06,Brigade Road
1000032,Food Explorer,occasional,26,90049,467.0,Budget,1,0.7,Meat Shop,22.1,0.06,HSR
1000033,Office Worker,occasional,37,48151,217.0,Budget,1,0.2,Quick Bites,5.7,0.06,Vasanth Nagar
1000034,Office Worker,regular,31,72261,434.0,Budget,1,0.2,Casual Dining,9.6,0.03,JP Nagar
1000035,Office Worker,trial_only,31,39354,654.0,Mid-range,2,0.2,Quick Bites,35.5,0.15,Koramangala 7th Block
1000036,Student,trial_only,20,12990,155.0,Budget,1,0.35,Cafe,24.6,0.15,Shanti Nagar
1000037,Student,trial_only,19,27876,343.0,Budget,2,0.35,Food Court,8.9,0.15,Kalyan Nagar
1000038,Office Worker,occasional,35,42411,607.0,Mid-range,2,0.2,Delivery,25.4,0.06,JP Nagar
1000039,Student,occasional,18,11453,296.0,Budget,1,0.35,Quick Bites,14.4,0.06,Central Bangalore
1000040,Family,occasional,42,154652,1186.0,Premium,3,0.15,Casual Dining,9.9,0.06,BTM
1000041,Office Worker,power_user,39,72324,384.0,Budget,2,0.2,Delivery,4.2,0.01,Rajajinagar
1000042,Couple,occasional,43,142959,1634.0,Premium,3,0.3,Lounge,5.7,0.06,Electronic City
1000043,Family,occasional,33,131883,1042.0,Premium,3,0.15,Casual Dining,21.6,0.06,BTM
1000044,Office Worker,occasional,38,58589,447.0,Budget,1,0.2,Delivery,7.4,0.06,Whitefield
1000045,Couple,regular,29,117043,754.0,Mid-range,3,0.3,Microbrewery,7.9,0.03,BTM
1000046,Couple,occasional,29,129201,899.0,Mid-range,2,0.3,Cafe,13.4,0.06,JP Nagar
1000047,Office Worker,occasional,29,67752,216.0,Budget,1,0.2,Delivery,15.9,0.06,Ejipura
1000048,Office Worker,regular,23,49164,509.0,Mid-range,2,0.2,Cafe,12.8,0.03,Indiranagar
1000049,Family,trial_only,29,166774,895.0,Mid-range,3,0.15,Dessert Parlor,31.5,0.15,Ulsoor
1000050,Student,occasional,23,27581,306.0,Budget,3,0.35,Quick Bites,20.2,0.06,JP Nagar
1000051,Student,power_user,23,31933,290.0,Budget,3,0.35,Quick Bites,0.2,0.01,Whitefield
1000052,Student,power_user,20,23931,409.0,Budget,2,0.35,Cafe,1.6,0.01,Jayanagar
1000053,Couple,occasional,30,94991,1289.0,Premium,2,0.3,Cafe,23.1,0.06,Basaveshwara Nagar
1000054,Family,regular,32,161186,689.0,Mid-range,1,0.15,Fine Dining,21.3,0.03,JP Nagar
1000055,Family,trial_only,24,133394,829.0,Mid-range,3,0.15,Fine Dining,24.8,0.15,MG Road
1000056,Couple,regular,27,127590,1814.0,Premium,2,0.3,Cafe,11.6,0.03,Marathahalli
1000057,Office Worker,power_user,40,83396,512.0,Mid-range,3,0.2,Delivery,1.6,0.01,HSR
1000058,Family,regular,44,94096,722.0,Mid-range,3,0.15,Casual Dining,9.2,0.03,Koramangala 6th Block
