customer_id,order_day,restaurant_id,rest_type,cuisine,order_value,group_size
1000001,12.4,R00080,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",659.78,1
1000001,57.2,R18643,Cafe,"Cafe, Italian, Tex-Mex, Fast Food, Burger",375.91,1
1000001,71.7,R45626,Casual Dining,"North Indian, South Indian, Chinese",1016.69,1
1000001,110.8,R00080,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",451.86,1
1000001,161.6,R28691,Quick Bites,Healthy Food,502.17,1
1000002,8.9,R06243,Cafe,"Cafe, Fast Food, Pizza, Burger",850.22,2
1000002,12.2,R15646,Cafe,"Cafe, Italian, Continental",1102.15,2
1000002,16.7,R25296,Cafe,"Continental, Thai, Arabian, Mexican",551.4,2
1000002,18.9,R21601,Cafe,"Cafe, Continental, Italian, Burger",348.38,2
1000002,26.5,R41500,Cafe,"Cafe, Street Food",315.03,2
1000002,31.3,R41981,Cafe,"Cafe, Burger, Fast Food",668.37,2
1000002,37.4,R09260,"Quick Bites, Dessert Parlor","Continental, Beverages, Burger, Coffee, Desserts",224.92,2
1000002,42.6,R06199,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",441.73,2
1000002,46.7,R13950,Casual Dining,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1109.85,2
1000002,51.7,R10103,Cafe,"Cafe, Burger, Rolls, Beverages",432.58,2
1000002,55.1,R00586,Cafe,"Cafe, Chinese, Continental, Italian",502.9,2
1000002,59.7,R34358,Cafe,"Cafe, Continental, Beverages",650.11,2
1000002,63.8,R02508,Cafe,"Cafe, Burger, Continental, Italian, Desserts",1004.86,2
1000003,2.6,R29880,Cafe,"Cafe, Beverages",249.35,3
1000003,3.7,R00884,Cafe,Cafe,765.46,3
1000003,5.1,R18579,"Casual Dining, Cafe","Continental, Cafe, Steak",1456.44,3
1000003,6.3,R34440,Cafe,"Cafe, Continental, Burger",860.07,3
1000003,8.5,R31793,Cafe,Cafe,1068.8,3
1000003,17.0,R15640,Cafe,"Cafe, Continental, Pizza, Italian, Beverages",617.63,3
1000003,28.3,R35600,"Takeaway, Delivery","North Indian, Biryani, Chinese",277.53,3
