restaurant_id,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,listed_in(type),popularity_score,appeal_score
R00000,1,1,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,Buffet,0.3244001441187292,0.6986759639572936
R00001,1,0,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,Buffet,0.3248279007727216,0.6993688163941674
R00002,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Buffet,0.2907879001594504,0.6448167532738462
R00003,0,0,3.7,88,Banashankari,Quick Bites,"South Indian, North Indian",300,Buffet,0.2482981724518581,0.5284651075656575
R00004,0,0,3.8,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,Buffet,0.2639818165092603,0.5714521773156009
R00005,1,0,3.8,286,Basavanagudi,Casual Dining,North Indian,600,Buffet,0.2682593830491843,0.5952396055335173
R00006,0,0,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Buffet,0.2325432356187906,0.4309676807824349
R00007,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Cafes,0.4524024898810252,0.8559304276100739
R00008,1,0,4.0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700,Cafes,0.2954203973997301,0.638614562597178
R00009,1,0,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,0.3276431988225193,0.6986762390895289
R00010,1,0,4.1,402,Banashankari,Cafe,Cafe,500,Cafes,0.3111040414571323,0.6681371443261047
R00011,1,1,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600,Cafes,0.3150243775297436,0.6341826730017943
R00012,1,1,4.2,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,Cafes,0.3155234269594014,0.6393905205434578
R00013,0,0,4.0,424,Banashankari,Cafe,"Cafe, Continental",450,Cafes,0.2989850361830001,0.651183744166284
R00014,1,0,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Cafes,0.2907879001594504,0.6448167532738462
R00015,1,0,3.8,90,Banashankari,Cafe,Cafe,650,Cafes,0.2612726910339751,0.5440779195020734
R00016,1,0,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,0.2757087115172328,0.5779683793190279
R00017,1,0,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Cafes,0.2631975959769409,0.565150037625223
R00018,0,0,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300,Cafes,0.2742828560039248,0.5604096072799252
R00019,1,0,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,0.168205338525696,0.4216867493471073
R00020,1,0,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Cafes,0.1570487857230467,0.4241285064583278
R00021,1,0,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,0.2515776401324665,0.5575968935213964
R00022,0,0,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes,0.2332561633754446,0.4737874493549814
R00023,1,0,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,0.2344681405617563,0.5014113405133493
R00024,0,0,3.7,31,Banashankari,Cafe,Cafe,300,Cafes,0.2462663283453943,0.4865083443927893
R00025,0,0,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes,0.1810372715564823,0.4236365691975668
R00026,1,0,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,0.2607379952164846,0.535822223110781
R00027,0,0,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,0.1936909726481049,0.4027184215425657
R00028,0,0,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,0.1943682540169262,0.4439485912480522
R00029,0,0,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,0.2633401815282717,0.5663673095132129
R00030,1,0,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,0.2916775266772967,0.6196794713938878
R00031,1,0,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,0.1470693303078621,0.4217476076246868
R00032,1,0,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,0.2722153655096282,0.5110480189869788
R00033,1,0,3.9,172,Banashankari,Delivery,Pizza,750,Delivery,0.2770989206427081,0.5902998003826501
R00034,1,0,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,0.324470670305409,0.6891413226630857
R00035,1,0,3.9,230,Banashankari,Delivery,Biryani,650,Delivery,0.2791664111370047,0.6039327795943717
R00036,1,0,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,0.1322760793572917,0.3970591295156519
R00037,1,0,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,0.368387020115295,0.7527259063331111
R00038,1,0,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,0.5095808291426469,0.8415337051333414
R00039,1,0,4.0,17,Banashankari,Quick Bites,South Indian,150,Delivery,0.2844769563350914,0.4817225828943075
R00040,1,0,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,0.2628054857107812,0.5616122808188464
R00041,0,0,3.9,28,Banashankari,Mess,South Indian,300,Delivery,0.2719658407947993,0.4998374368976042
R00042,1,0,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery,0.2811626088556359,0.613954854338167
R00043,1,0,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery,0.2902167913651415,0.6423393191876428
R00044,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,0.4524024898810252,0.8559304276100739
R00045,0,0,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery,0.2593477860910094,0.5024672426550993
R00046,1,0,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,0.2409557831473077,0.5517072419695429
R00047,1,0,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,0.312530663559426,0.6799711398661972
R00048,1,0,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery,0.2693651876609836,0.6119578015938081
R00049,1,0,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,0.1764753005028823,0.4602105875015594
R00050,0,0,3.7,21,Banashankari,Quick Bites,North Indian,450,Delivery,0.2459098644670673,0.4711392615834994
R00051,1,0,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,0.2977722924077026,0.5172040952593528
R00052,0,0,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,0.3348786489635716,0.6989544482241081
R00053,1,0,4.0,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,0.3059004354225438,0.6682970097856742
R00054,0,0,4.0,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,0.3211927358027719,0.6915063850180496
R00055,1,0,3.9,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,0.2933180271065864,0.6488590302259859
R00056,1,0,3.8,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery,0.2617717404636329,0.5505959516237735
R00057,1,1,4.2,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,Delivery,0.3222962406476143,0.6811427243211293
R00058,0,0,3.6,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery,0.2342186158469275,0.497201284774533
R00059,1,0,3.7,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery,0.2457672789157365,0.4629069207098885
R00060,0,0,4.2,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,Delivery,0.3183751379860174,0.6616264375253323
R00061,1,1,3.6,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,0.238068425732859,0.5364505887905349
R00062,1,0,3.8,58,Basavanagudi,Quick Bites,Chinese,150,Delivery,0.2601320066233287,0.5241374827377737
R00063,0,1,4.0,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery,0.3126732491107568,0.6801894775230923
R00064,0,0,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,150,Delivery,0.2479417085735311,0.5235753666353578
R00065,1,0,4.1,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,Delivery,0.3580859806206303,0.7337148988973399
R00066,1,0,3.6,34,Jayanagar,Quick Bites,South Indian,100,Delivery,0.2334700417024408,0.4804832244150587
R00067,0,0,4.1,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,0.3277152581871703,0.7037668624765825
R00068,0,0,3.8,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,0.2594547252545074,0.50609201277156
R00069,1,0,3.2,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,0.1831760548264442,0.4519445718178346
R00070,1,0,3.6,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,0.2324719428431252,0.4214119376296198
R00071,0,0,4.1,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,0.3153103152213908,0.6803528294154272
R00072,0,0,,0,Banashankari,Quick Bites,North Indian,150,Delivery,,0.3442019454913517
R00073,0,0,2.9,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery,0.1449297804489145,0.4115417630659581
R00074,0,0,3.6,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,0.2429163344781062,0.5595257884400648
R00075,0,0,,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,Delivery,,0.3442019454913517
R00076,1,0,4.1,558,Basavanagudi,Quick Bites,South Indian,150,Delivery,0.3166648779590334,0.6836418047996433
R00077,1,0,3.6,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery,0.2332561633754446,0.4737874493549814
R00078,0,0,3.7,22,Banashankari,Quick Bites,Fast Food,500,Delivery,0.2459455108549,0.4729627156694011
R00079,0,0,3.8,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,0.2594547252545074,0.50609201277156
R00080,1,0,3.8,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,0.2635184134674352,0.5678416843000165
R00081,1,0,4.2,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,0.3148817919784129,0.6325894829697114
R00082,0,0,3.5,14,Banashankari,Sweet Shop,"Mithai, Street Food",200,Delivery,0.2198538881393351,0.4445326777886057
R00083,0,0,3.8,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery,0.2595616644180056,0.5094545414373817
R00084,0,0,,0,Banashankari,Quick Bites,"South Indian, Chinese",100,Delivery,,0.3442019454913517
R00085,0,0,4.0,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery,0.2862236293388936,0.5564135303937409
